fid,name,type,county,lon,lat,source,source_id,city,nearest_karst_m,nearest_karst_type,buffer_zone,proximity_score,karst_points_1km,criticality,density_score,facility_risk_score
1151,McCann School of Business and Technology,school,Lehigh,-75.44903599957854,40.64000300046001,USGS Structures,120091ac-effd-4dac-9de6-e0f047d22cff,Allentown,21.01,surface depression,100m,1.0,434,0.7,1.0,94.0
51,Muhlenberg Township Fire and Rescue Station 2,fire_ems,Berks,-75.95810499983003,40.39733799979501,USGS Structures,daa0a731-35bf-43df-98b5-a4361dc80664,Reading,22.73,surface depression,100m,1.0,362,0.9,0.8341013824884793,89.71
205,Hidden Valley Mennonite School,school,Berks,-75.7187391960349,40.52146395168569,USGS Structures,1f4a8ef6-2eb3-42a5-b10d-6433fb69c79e,Kutztown,37.97,surface depression,100m,1.0,354,0.7,0.815668202764977,84.78
240,Oak Haven School,school,Berks,-75.80250978548821,40.480675117374005,USGS Structures,a0b10a12-9ec5-4f5e-94c9-cb1d43375565,Fleetwood,72.45,surface depression,100m,1.0,328,0.7,0.7557603686635944,81.79
1048,Upper Macungie Township Fire Department Station 56,fire_ems,Lehigh,-75.59376500039559,40.57957499951215,USGS Structures,0de802cc-0414-4689-b813-50cc1ec4aab8,Allentown,151.14,surface depression,250m,0.7,358,0.9,0.8248847926267281,80.24
291,White Oak Ridge School,school,Berks,-75.84836483020871,40.47805751633638,USGS Structures,769d85e0-a14a-44d7-9500-af7504e2ad2b,Fleetwood,78.52,surface depression,100m,1.0,301,0.7,0.6935483870967742,78.68
161,Brandywine Heights High School,school,Berks,-75.69393200024012,40.51168099961751,USGS Structures,12cb5a1d-13f2-4ab0-baa6-23411f313bd4,Mertztown,33.96,surface depression,100m,1.0,268,0.7,0.6175115207373272,74.88
221,Lighthouse Christian Academy,school,Berks,-75.75896500013914,40.48253999966278,USGS Structures,4cf408d8-4029-469a-8340-68c9f4b28fcd,Lyon Station,190.06,surface depression,250m,0.7,339,0.7,0.7811059907834101,74.06
1113,Fogelsville Elementary School,school,Lehigh,-75.61605100036098,40.56791299953022,USGS Structures,267075f4-12ea-4bae-b999-17333d121025,Breinigsville,92.48,surface depression,100m,1.0,245,0.7,0.5645161290322581,72.23
1090,Blackstone Career Institute,school,Lehigh,-75.55323791504179,40.56232452349724,USGS Structures,a336abc3-af5d-4c6d-964c-8c9aca3f827a,Allentown,89.53,surface depression,100m,1.0,238,0.7,0.5483870967741935,71.42
